,Unnamed: 0,Delhi,Mumbai,Chennai,Kolkata,Mean,month,year,merge_col,import_bbl_usd,INR,price_rs_lit_crude,type,Date
0,0,64.19933333333333,75.43666666666668,66.67066666666668,67.02266666666667,68.33233333333334,June,2017,2017 June,46.56,64.52,18.893403773584904,Petrol,2017-06-30
1,1,64.011,73.97233333333332,66.45633333333332,67.26733333333334,67.92675,July,2017,2017 July,47.86,64.46,19.40286540880503,Petrol,2017-07-31
2,2,67.7709677419355,76.90580645161289,70.20548387096773,70.6083870967742,71.37266129032258,August,2017,2017 August,50.63,63.99,20.37618679245283,Petrol,2017-08-31
3,3,70.20827586206897,79.3189655172414,72.77413793103447,72.95172413793105,73.81327586206896,September,2017,2017 September,54.52,64.46,22.102888050314466,Petrol,2017-09-30
4,4,68.74225806451614,76.50516129032258,71.23354838709676,71.51677419354839,71.99943548387095,October,2017,2017 October,56.06,65.07,22.94229056603773,Petrol,2017-10-31
5,5,69.53896551724138,76.66793103448275,72.07241379310345,72.2951724137931,72.6436206896552,November,2017,2017 November,61.32,64.85,25.010075471698112,Petrol,2017-11-30
6,6,69.35766666666667,77.01900000000002,71.88133333333333,72.11633333333333,72.59358333333331,December,2017,2017 December,62.29,64.27,25.178479874213835,Petrol,2017-12-31
7,7,71.3751612903226,79.25741935483869,74.00612903225809,74.09967741935482,74.68459677419354,January,2018,2018 January,67.06,63.65,26.845088050314462,Petrol,2018-01-31
8,8,72.52814814814815,80.39740740740741,75.21962962962964,75.23888888888888,75.84601851851853,February,2018,2018 February,63.54,64.44,25.75168301886792,Petrol,2018-02-28
9,9,72.44290322580646,80.31258064516128,75.12870967741935,75.17612903225809,75.76508064516129,March,2018,2018 March,63.8,65.05,26.101823899371063,Petrol,2018-03-31
10,10,74.16931034482761,82.02103448275861,76.9465517241379,76.87241379310345,77.5023275862069,April,2018,2018 April,69.22,65.7,28.60222641509434,Petrol,2018-04-30
11,11,75.92225806451611,83.75806451612904,78.79161290322583,78.59548387096773,79.2668548387097,May,2018,2018 May,75.25,67.55,31.96941823899371,Petrol,2018-05-31
12,12,76.55172413793103,84.29862068965517,79.4541379310345,79.21758620689656,79.88051724137931,June,2018,2018 June,73.83,67.79,31.477583018867925,Petrol,2018-06-30
13,13,76.30566666666665,83.71566666666668,79.22066666666667,79.04733333333334,79.57233333333335,July,2018,2018 July,73.47,68.72,31.75382641509434,Petrol,2018-07-31
14,14,77.33354838709678,84.76419354838706,80.33645161290323,80.26903225806453,80.6758064516129,August,2018,2018 August,72.53,69.64,31.767227672955972,Petrol,2018-08-31
15,15,81.35931034482756,88.7403448275862,84.56379310344829,83.59965517241382,84.56577586206896,September,2018,2018 September,77.88,72.23,35.37907169811321,Petrol,2018-09-30
16,16,81.92387096774195,87.63709677419354,85.14870967741936,83.75935483870968,84.61725806451612,October,2018,2018 October,80.08,73.62,37.07855094339622,Petrol,2018-10-31
17,17,76.72827586206895,82.24862068965517,79.67896551724137,78.66999999999999,79.33146551724137,November,2018,2018 November,65.4,71.75,29.5122641509434,Petrol,2018-11-30
18,18,70.47354838709678,76.07903225806452,73.11677419354838,72.58129032258066,73.06266129032258,December,2018,2018 December,57.77,70.82,25.731266666666663,Petrol,2018-12-31
19,19,70.06133333333334,75.70233333333334,72.715,72.17266666666663,72.66283333333335,January,2019,2019 January,59.27,70.77,26.380741509433964,Petrol,2019-01-31
20,20,70.81333333333335,76.44925925925926,73.5114814814815,72.91851851851851,73.42314814814814,February,2019,2019 February,64.53,71.23,28.9086283018868,Petrol,2019-02-28
21,21,72.53903225806451,78.1632258064516,75.33516129032257,74.61967741935483,75.1642741935484,March,2019,2019 March,66.74,69.51,29.176713207547166,Petrol,2019-03-31
22,22,72.93275862068964,78.50275862068963,75.69586206896552,74.95275862068966,75.52103448275861,April,2019,2019 April,71.0,69.41,30.99440251572327,Petrol,2019-04-30
23,23,71.9441935483871,77.5458064516129,74.6793548387097,73.99967741935482,74.54225806451615,May,2019,2019 May,70.01,69.81,30.73835283018868,Petrol,2019-05-31
24,24,70.41379310344828,76.10586206896552,73.14758620689658,72.66275862068966,73.08250000000002,June,2019,2019 June,62.37,69.43,27.234900000000003,Petrol,2019-06-30
25,25,72.7122580645161,78.33064516129033,75.50645161290323,75.08193548387096,75.40782258064517,July,2019,2019 July,63.63,68.75,27.51297169811321,Petrol,2019-07-31
26,26,72.08733333333333,77.74433333333334,74.87933333333332,74.78266666666667,74.87341666666667,August,2019,2019 August,59.35,71.17,26.565657232704407,Petrol,2019-08-31
27,27,72.65551724137931,78.32827586206896,75.50137931034483,75.36689655172414,75.46301724137932,September,2019,2019 September,61.72,71.4,27.71577358490566,Petrol,2019-09-30
28,28,73.45516129032258,79.06612903225808,76.28612903225802,76.09967741935488,76.22677419354838,October,2019,2019 October,59.7,71.04,26.67350943396227,Petrol,2019-10-31
29,29,73.6493103448276,79.31551724137931,76.55034482758623,76.34689655172414,76.46551724137929,November,2019,2019 November,62.53,71.47,28.10703836477988,Petrol,2019-11-30
30,30,74.8135483870968,80.47290322580646,77.78161290322578,77.4822580645161,77.6375806451613,December,2019,2019 December,65.5,71.18,29.322578616352207,Petrol,2019-12-31
31,31,75.01766666666667,80.61633333333334,77.93433333333334,77.61899999999999,77.79683333333332,January,2020,2020 January,64.31,71.29,28.83433899371069,Petrol,2020-01-31
32,32,72.22655172413796,77.8862068965517,75.03310344827585,74.87724137931035,75.00577586206899,February,2020,2020 February,54.63,71.51,24.569756603773587,Petrol,2020-02-29
33,33,70.1713333333333,75.87433333333334,72.89166666666667,72.863,72.95008333333334,March,2020,2020 March,33.36,74.53,15.637237735849055,Petrol,2020-03-31
34,34,69.58999999999997,76.30999999999996,72.27999999999999,73.29999999999998,72.86999999999995,April,2020,2020 April,19.9,76.22,9.539484276729558,Petrol,2020-04-30
35,35,71.03733333333335,76.30999999999996,75.21399999999997,73.29999999999998,73.96533333333332,May,2020,2020 May,30.61,75.67,14.567664779874214,Petrol,2020-05-31
36,36,76.10333333333332,83.00999999999999,79.81633333333336,77.95066666666665,79.22008333333335,June,2020,2020 June,40.63,75.72,19.34907924528302,Petrol,2020-06-30
37,37,80.43000000000002,87.19000000000004,83.63000000000007,82.09999999999995,83.33750000000005,July,2020,2020 July,43.35,74.92,20.42630188679245,Petrol,2020-07-31
38,38,80.94935483870971,87.66322580645159,84.06645161290322,82.51774193548383,83.7991935483871,August,2020,2020 August,44.19,74.6,20.733169811320757,Petrol,2020-08-31
39,39,81.53999999999999,88.20517241379305,84.56344827586207,83.05241379310347,84.34025862068968,September,2020,2020 September,41.35,73.55,19.127625786163524,Petrol,2020-09-30
40,40,81.05999999999996,87.73999999999994,84.14,82.59000000000002,83.88250000000001,October,2020,2020 October,40.66,73.54,18.8058893081761,Petrol,2020-10-31
41,41,81.31931034482758,88.0044827586207,84.38206896551723,82.85862068965517,84.14112068965517,November,2020,2020 November,43.34,74.22,20.23078490566038,Petrol,2020-11-30
42,42,83.53100000000002,90.16733333333336,86.35300000000005,85.0176666666667,86.26725,December,2020,2020 December,49.84,73.63,23.07999496855346,Petrol,2020-12-31
43,43,84.89096774193554,91.49645161290326,87.56967741935487,86.33451612903228,87.57290322580643,January,2021,2021 January,54.79,73.12,25.196508176100632,Petrol,2021-01-31
44,0,53.84133333333333,59.214000000000006,56.714666666666666,55.99733333333333,56.441833333333335,June,2017,2017 June,46.56,64.52,18.893403773584904,Diesel,2017-06-30
45,1,54.56000000000001,58.70099999999999,57.49833333333334,57.15533333333335,56.978666666666655,July,2017,2017 July,47.86,64.46,19.40286540880503,Diesel,2017-07-31
46,2,56.85387096774192,60.3896774193548,59.84580645161289,59.50548387096775,59.14870967741935,August,2017,2017 August,50.63,63.99,20.37618679245283,Diesel,2017-08-31
47,3,58.35103448275862,61.98344827586206,61.45137931034482,61.00793103448275,60.698448275862056,September,2017,2017 September,54.52,64.46,22.102888050314466,Diesel,2017-09-30
48,4,57.277096774193545,60.16612903225807,60.30419354838709,59.93709677419354,59.42112903225807,October,2017,2017 October,56.06,65.07,22.94229056603773,Diesel,2017-10-31
49,5,58.26034482758618,60.89000000000002,61.35655172413794,60.92034482758622,60.35681034482759,November,2017,2017 November,61.32,64.85,25.010075471698112,Diesel,2017-11-30
50,6,58.71900000000001,61.81266666666666,61.84733333333333,61.379000000000005,60.9395,December,2017,2017 December,62.29,64.27,25.178479874213835,Diesel,2017-12-31
51,7,61.89483870967743,65.85451612903226,65.24645161290323,64.55709677419355,64.38822580645162,January,2018,2018 January,67.06,63.65,26.845088050314462,Diesel,2018-01-31
52,8,63.21962962962965,67.32518518518518,66.66333333333334,65.89259259259258,65.77518518518517,February,2018,2018 February,63.54,64.44,25.75168301886792,Diesel,2018-02-28
