,index,INR
175,2017-09-18,64.1375125544
176,2018-08-10,68.8303072626
177,2017-11-23,64.577987846
178,2018-03-27,64.9749515191
179,2020-05-22,75.8680300807
180,2020-02-17,71.3816335948
181,2020-08-13,74.8449252092
182,2018-10-17,73.6266261925
183,2019-12-03,71.7460030711
184,2018-01-23,63.775002041
185,2019-12-20,71.1935658286
186,2019-08-15,71.3188340807
187,2019-03-05,70.5587430488
188,2018-12-31,69.6330131004
189,2019-11-14,71.9287078294
190,2019-05-27,69.5289337382
191,2020-10-20,73.5364098222
192,2019-02-01,71.2849795136
193,2019-07-03,68.8453023997
194,2019-01-31,71.1055013928
195,2019-04-17,69.4248296611
196,2018-12-20,69.8183564754
197,2019-08-21,71.5647514409
198,2020-09-15,73.5961150353
199,2019-02-13,70.8235294118
200,2018-06-18,68.0396968914
201,2018-03-23,65.0048598736
202,2018-10-05,73.7732487398
203,2021-01-19,73.1557039235
204,2018-01-12,63.6001483068
205,2018-06-12,67.442738378
206,2017-10-19,65.0278857529
207,2018-10-30,73.6264509321
208,2019-02-04,71.8134556575
209,2019-06-13,69.5141287979
210,2020-06-26,75.6456791224
211,2018-02-05,64.1024919614
212,2019-05-10,69.9977738201
213,2019-04-24,69.8501204389
214,2020-07-03,74.6801496793
215,2020-05-26,75.5599088838
216,2019-09-30,70.8618789604
217,2017-07-11,64.5900920649
218,2020-04-06,76.0874803077
219,2018-05-18,68.0005941771
220,2019-09-12,71.1465839642
221,2018-05-17,67.7378229564
222,2018-11-23,70.6518675123
223,2017-10-31,64.7499570373
224,2020-12-30,73.1881768586
225,2020-08-28,73.1955518254
226,2018-06-25,68.0726495726
227,2019-01-03,70.1515685583
228,2017-11-17,65.0122933446
229,2018-06-04,67.0631336798
230,2017-06-21,64.5021081905
231,2020-12-14,73.5491695445
232,2021-01-12,73.2600115122
233,2020-10-02,73.3482523444
234,2017-08-04,63.619396697
235,2019-11-07,70.9117992236
236,2020-12-08,73.6362885917
237,2019-07-16,68.6866256794
238,2019-07-22,68.9331252786
239,2018-06-08,67.5021269355
240,2017-09-21,64.8042839143
241,2018-06-26,68.2912097327
242,2018-11-26,70.8778491596
243,2020-09-08,73.9126007637
244,2020-08-25,74.2479261893
245,2021-03-03,72.8473605578
246,2018-08-03,68.6158094581
247,2018-11-29,69.8489505577
248,2020-03-16,74.2202204894
249,2018-01-18,63.8504290969
250,2018-12-12,71.9989423585
251,2019-09-23,70.9517523896
252,2020-08-24,74.0879547565
253,2020-07-30,74.8871668228
254,2019-02-28,70.8580063069
255,2019-11-04,70.7299695286
256,2019-03-01,70.8908020733
257,2019-07-11,68.3646433319
258,2021-02-12,72.5776346217
259,2018-10-01,72.9118559366
260,2017-07-07,64.5771994392
261,2018-03-28,65.1722051944
262,2019-03-29,69.1757899421
263,2018-06-14,67.5980392157
264,2019-03-18,68.5355537933
265,2019-02-20,71.154558279
266,2019-05-30,69.8863840489
267,2020-05-18,75.8341026588
268,2019-07-01,68.9364701736
269,2020-04-15,76.5055489315
270,2020-05-29,75.5230783046
271,2019-04-30,69.5859333214
272,2019-12-11,70.8004514673
273,2019-08-29,71.659591763
274,2018-05-07,67.134935305
275,2020-01-13,70.8453172749
276,2020-05-25,75.8868010999
277,2017-10-16,64.7424383631
278,2017-09-26,65.4903707474
279,2018-08-14,69.9031211643
280,2018-04-11,65.3048288114
281,2018-02-28,65.1899459636
282,2018-07-26,68.6650734039
283,2020-06-30,75.5701911056
284,2020-12-22,73.8602009968
285,2019-03-27,69.1412840778
286,2017-10-25,64.9249045397
287,2020-07-24,74.8328738801
288,2020-08-26,74.3175841887
289,2018-12-11,71.9057034889
290,2019-06-03,69.2641931158
291,2018-05-31,67.3578938371
292,2019-11-06,70.9517583408
293,2020-05-04,75.6598428075
294,2018-01-26,63.6100836282
295,2020-10-06,73.3967782959
296,2020-12-16,73.650832718
297,2018-01-22,63.9124928507
298,2018-05-09,67.2623958246
299,2020-10-05,73.1534670292
300,2019-04-04,69.1621356627
301,2021-01-27,73.0047878488
302,2019-07-09,68.5238732709
303,2018-03-02,65.2375730994
304,2019-05-22,69.6983260227
305,2020-03-10,73.8454784899
306,2020-06-15,76.004176664
307,2018-09-12,72.2231333621
308,2020-03-17,74.2733564014
309,2019-12-30,71.3307712932
310,2021-02-19,72.5055605898
311,2020-07-21,74.6137376562
312,2017-11-28,64.4174798116
313,2019-05-29,69.8211724632
314,2020-06-09,75.5343545245
315,2018-04-27,66.6648715824
316,2020-07-14,75.4043956044
317,2018-01-02,63.4898466639
318,2019-12-02,71.6488251837
319,2017-10-24,65.1126604881
320,2018-10-23,73.5698728001
321,2020-02-14,71.4499169895
322,2019-03-04,70.8855958366
323,2018-11-12,72.8900133156
324,2018-11-09,72.5048475234
325,2019-09-04,72.0539117807
326,2019-11-26,71.5213248639
327,2019-06-27,69.100703606
328,2019-07-02,68.956729493
329,2020-07-02,74.7421584264
330,2020-07-16,75.2194673208
331,2019-08-19,71.4041250113
332,2019-11-15,71.7446075766
333,2020-02-26,71.6501149425
334,2017-08-31,63.9319238901
335,2020-02-06,71.1483231846
336,2018-11-16,71.8962630002
337,2019-08-22,71.811783813
338,2017-08-08,63.6418655832
339,2018-02-02,64.0573967339
340,2020-04-09,76.311309469
341,2018-06-21,67.9619518114
342,2019-02-18,71.401394774
343,2020-07-27,74.7321428571
344,2020-04-01,76.4451353328
345,2019-04-11,68.9679509943
346,2018-11-06,72.9598354918
347,2018-07-24,68.9475482658
348,2020-11-20,74.1304897581
349,2020-12-17,73.5881104034
350,2020-03-24,75.9549940053
351,2020-10-08,73.2562685933
352,2020-01-02,71.3897078531
353,2019-06-28,69.0017574692
354,2020-04-17,76.479281768
355,2019-12-17,70.9581616198
356,2018-01-31,63.562655535
357,2019-04-08,69.6438733772
358,2020-02-11,71.2728190074
359,2019-05-24,69.5450075981
360,2019-10-04,70.9003552236
361,2020-04-24,76.2648148148
362,2020-09-21,73.5513701536
363,2020-03-30,75.6751857894
364,2021-01-13,73.1625020549
365,2017-11-22,64.8999914886
366,2019-10-02,71.23798627
367,2017-09-20,64.2929124677
368,2017-10-06,65.3831041257
369,2019-07-30,68.8161197777
370,2020-07-01,75.5553571429
371,2019-10-15,71.4963205233
372,2018-03-01,65.1750061622
373,2021-01-04,73.0229342876
374,2018-03-14,64.8374969682
375,2017-06-28,64.5578021978
376,2020-01-09,71.2529252925
377,2018-01-08,63.5074751524
378,2021-02-22,72.5063875381
379,2018-10-10,74.2265217391
380,2018-12-05,70.5178791615
381,2018-12-14,71.9760744351
382,2020-03-11,73.6781051517
383,2017-07-03,64.857947049
384,2020-08-10,74.9064864405
385,2018-03-15,64.950166113
386,2019-10-30,70.926075995
387,2018-02-23,64.7625823238
388,2018-11-22,70.687099886
389,2021-01-18,73.306117374
390,2019-01-17,71.0569498069
391,2019-08-08,70.7361743947
392,2019-08-05,70.7859953497
393,2021-02-11,72.7784638182
394,2021-02-02,72.9873796081
395,2018-09-27,72.5916118562
396,2020-11-17,74.4676822084
397,2020-01-06,71.9291584778
398,2020-02-18,71.5514053254
399,2020-10-12,73.2909568608
400,2020-01-29,71.2817016635
401,2018-03-29,65.1700348998
402,2017-07-12,64.5353305966
403,2019-01-22,71.3810110974
404,2018-03-13,64.8602359024
405,2021-02-24,72.3497447719
406,2018-09-03,71.2150055991
407,2020-04-27,76.1329708809
408,2019-09-11,71.6822684722
409,2019-11-08,71.2814935653
410,2019-11-29,71.651338554
411,2019-12-10,70.9226324817
412,2019-05-03,69.2595248767
413,2020-02-27,71.6326158336
414,2020-04-22,76.5330818073
415,2020-03-20,75.1517698702
416,2020-01-14,70.8308591993
417,2017-10-11,65.1445477599
418,2019-06-10,69.5907441819
419,2020-02-05,71.1539508301
420,2020-07-22,74.5275522543
421,2019-06-25,69.3471197752
422,2019-12-16,70.9728153598
423,2019-06-12,69.3199682063
424,2019-05-07,69.4143942781
425,2019-11-11,71.5428856082
426,2020-03-23,76.1620142817
427,2020-09-09,73.5636626179
428,2019-08-30,71.4357557086
429,2020-06-16,76.0948001415
430,2019-02-12,70.6453611898
431,2018-05-30,67.3899587345
432,2018-01-29,63.5798529768
433,2019-01-04,69.658423222
434,2019-03-08,70.1595081091
435,2019-10-22,70.9115004492
436,2020-08-04,75.1215469613
437,2019-09-02,71.9292487236
438,2018-04-19,65.787433371
439,2019-02-19,71.4525411723
440,2017-06-22,64.5997851195
441,2018-02-21,64.7575536062
442,2017-06-19,64.4222698455
443,2021-03-05,73.0696096499
444,2019-07-24,68.9663375224
445,2018-12-27,70.2685242155
446,2018-10-11,74.0920086393
447,2020-01-28,71.2898682417
448,2019-08-27,71.5260266571
449,2017-06-23,64.5328022912
450,2018-05-16,67.797437203
451,2020-12-03,73.8284914822
452,2019-03-13,69.5939131204
