,Date,Delhi,Mumbai,Chennai,Kolkata,Delhi_pc,Mumbai_pc,Chennai_pc,Kolkata_pc
24,2020-12-04,73.07,79.66,78.45,76.64,34.1,32.99,36.65,35.29
25,2020-12-03,72.84,79.42,78.24,76.41,33.68,32.59,36.28,34.88
26,2020-12-02,72.65,79.22,78.06,76.22,33.33,32.25,35.97,34.55
27,2020-12-01,72.42,78.97,77.84,75.99,32.91,31.84,35.59,34.14
28,2020-11-30,72.42,78.97,77.84,75.99,32.91,31.84,35.59,34.14
29,2020-11-29,72.42,78.97,77.84,75.99,32.91,31.84,35.59,34.14
30,2020-11-28,72.13,78.66,77.56,75.7,32.37,31.32,35.1,33.63
31,2020-11-27,71.86,78.38,77.3,75.43,31.88,30.85,34.65,33.15
32,2020-11-26,71.62,78.12,77.08,75.19,31.44,30.42,34.26,32.73
33,2020-11-25,71.41,77.9,76.88,74.98,31.05,30.05,33.91,32.36
34,2020-11-24,71.41,77.9,76.88,74.98,31.05,30.05,33.91,32.36
35,2020-11-23,71.25,77.73,76.72,74.82,30.76,29.77,33.64,32.07
36,2020-11-22,71.07,77.54,76.55,74.64,30.43,29.45,33.34,31.76
37,2020-11-21,70.88,77.34,76.37,74.45,30.08,29.12,33.03,31.42
38,2020-11-20,70.68,77.11,76.17,74.24,29.71,28.73,32.68,31.05
39,2020-11-19,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
40,2020-11-18,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
41,2020-11-17,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
42,2020-11-16,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
43,2020-11-15,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
44,2020-11-14,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
45,2020-11-13,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
46,2020-11-12,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
47,2020-11-11,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
48,2020-11-10,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
49,2020-11-09,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
50,2020-11-08,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
51,2020-11-07,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
52,2020-11-06,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
53,2020-11-05,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
54,2020-11-04,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
55,2020-11-03,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
56,2020-11-02,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
57,2020-11-01,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
58,2020-10-31,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
2,2020-10-30,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
4,2020-10-28,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
5,2020-10-27,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
6,2020-10-26,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
7,2020-10-25,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
8,2020-10-24,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
9,2020-10-23,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
10,2020-10-22,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
11,2020-10-21,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
12,2020-10-20,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
13,2020-10-19,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
14,2020-10-18,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
15,2020-10-17,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
16,2020-10-16,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
17,2020-10-15,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
18,2020-10-14,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
19,2020-10-13,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
20,2020-10-12,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
21,2020-10-11,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
22,2020-10-10,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
23,2020-10-09,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
24,2020-10-08,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
25,2020-10-07,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
26,2020-10-06,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
27,2020-10-05,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
28,2020-10-04,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
29,2020-10-03,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
30,2020-10-02,70.46,76.86,75.95,73.99,29.31,28.31,32.29,30.61
31,2020-10-01,70.53,76.93,76.01,74.05,29.44,28.43,32.4,30.71
32,2020-09-30,70.63,77.04,76.1,74.15,29.62,28.61,32.56,30.89
33,2020-09-29,70.63,77.04,76.1,74.15,29.62,28.61,32.56,30.89
34,2020-09-28,70.71,77.12,76.18,74.23,29.77,28.75,32.69,31.03
35,2020-09-27,70.8,77.22,76.27,74.32,29.93,28.91,32.85,31.19
36,2020-09-26,70.94,77.36,76.4,74.46,30.19,29.15,33.08,31.44
37,2020-09-25,71.1,77.53,76.55,74.62,30.48,29.43,33.34,31.72
38,2020-09-24,71.28,77.73,76.72,74.8,30.81,29.77,33.64,32.04
39,2020-09-23,71.28,77.73,76.72,74.8,30.81,29.77,33.64,32.04
40,2020-09-22,71.28,77.73,76.72,74.8,30.81,29.77,33.64,32.04
41,2020-09-21,71.43,77.87,76.85,74.94,31.09,30.0,33.86,32.29
42,2020-09-20,71.58,78.02,76.99,75.09,31.36,30.25,34.11,32.55
43,2020-09-19,71.82,78.27,77.21,75.32,31.8,30.67,34.49,32.96
44,2020-09-18,72.02,78.48,77.4,75.52,32.17,31.02,34.82,33.31
45,2020-09-17,72.37,78.85,77.73,75.87,32.81,31.64,35.39,33.93
46,2020-09-16,72.56,79.05,77.91,76.06,33.16,31.97,35.71,34.26
47,2020-09-15,72.56,79.05,77.91,76.06,33.16,31.97,35.71,34.26
48,2020-09-14,72.78,79.29,78.12,76.28,33.57,32.37,36.07,34.65
49,2020-09-13,72.93,79.45,78.26,76.43,33.84,32.64,36.32,34.92
50,2020-09-12,72.93,79.45,78.26,76.43,33.84,32.64,36.32,34.92
51,2020-09-11,73.05,79.57,78.38,76.55,34.06,32.84,36.53,35.13
52,2020-09-10,73.05,79.57,78.38,76.55,34.06,32.84,36.53,35.13
53,2020-09-09,73.16,79.69,78.48,76.66,34.26,33.04,36.7,35.32
54,2020-09-08,73.16,79.69,78.48,76.66,34.26,33.04,36.7,35.32
55,2020-09-07,73.16,79.69,78.48,76.66,34.26,33.04,36.7,35.32
56,2020-09-06,73.27,79.81,78.58,76.77,34.47,33.24,36.88,35.52
57,2020-09-05,73.27,79.81,78.58,76.77,34.47,33.24,36.88,35.52
58,2020-09-04,73.4,79.94,78.71,76.9,34.7,33.46,37.1,35.75
2,2020-09-03,73.4,79.94,78.71,76.9,34.7,33.46,37.1,35.75
4,2020-09-01,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
5,2020-08-31,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
6,2020-08-30,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
7,2020-08-29,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
8,2020-08-28,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
9,2020-08-27,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
10,2020-08-26,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
11,2020-08-25,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
12,2020-08-24,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
13,2020-08-23,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
14,2020-08-22,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
15,2020-08-21,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
16,2020-08-20,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
17,2020-08-19,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
18,2020-08-18,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
19,2020-08-17,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
20,2020-08-16,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
21,2020-08-15,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
22,2020-08-14,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
23,2020-08-13,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
24,2020-08-12,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
25,2020-08-11,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
26,2020-08-10,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
27,2020-08-09,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
28,2020-08-08,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
29,2020-08-07,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
30,2020-08-06,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
31,2020-08-05,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
32,2020-08-04,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
33,2020-08-03,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
34,2020-08-02,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
35,2020-08-01,73.56,80.11,78.86,77.06,35.0,33.74,37.36,36.03
36,2020-07-31,73.56,80.11,78.86,77.04,35.0,33.74,37.36,35.99
37,2020-07-30,81.94,80.11,78.86,77.04,50.38,33.74,37.36,35.99
