,Delhi,Mumbai,Chennai,Kolkata,mean_price,month,year,merge_col,import_bbl_usd,INR,price_rs_lit_crude,type,Date
0,64.19933333333333,75.43666666666668,66.67066666666668,67.02266666666667,68.33233333333334,June,2017,2017 June,46.56,64.52,18.893403773584904,Petrol,2017-06-30
1,64.00933333333333,73.97099999999999,66.45466666666667,67.26633333333335,67.92533333333333,July,2017,2017 July,47.86,64.46,19.40286540880503,Petrol,2017-07-31
2,67.7709677419355,76.90580645161289,70.20548387096773,70.6083870967742,71.37266129032258,August,2017,2017 August,50.63,63.99,20.37618679245283,Petrol,2017-08-31
3,70.20551724137933,79.31655172413794,72.77137931034483,72.9493103448276,73.81068965517242,September,2017,2017 September,54.52,64.46,22.102888050314466,Petrol,2017-09-30
4,68.74225806451614,76.50516129032258,71.23354838709676,71.51677419354839,71.99943548387095,October,2017,2017 October,56.06,65.07,22.942290566037734,Petrol,2017-10-31
5,69.53172413793104,76.66103448275862,72.0648275862069,72.28793103448275,72.63637931034484,November,2017,2017 November,61.32,64.85,25.010075471698112,Petrol,2017-11-30
6,69.35166666666667,77.013,71.87500000000001,72.11066666666667,72.58758333333331,December,2017,2017 December,62.29,64.27,25.178479874213835,Petrol,2017-12-31
7,71.3751612903226,79.25741935483869,74.00612903225809,74.09967741935482,74.68459677419354,January,2018,2018 January,67.06,63.65,26.845088050314462,Petrol,2018-01-31
8,72.53962962962963,80.40851851851852,75.23185185185186,75.25037037037038,75.8575925925926,February,2018,2018 February,63.54,64.44,25.751683018867922,Petrol,2018-02-28
9,72.44290322580646,80.31258064516128,75.12870967741935,75.17612903225809,75.76508064516129,March,2018,2018 March,63.8,65.05,26.101823899371066,Petrol,2018-03-31
10,74.17172413793107,82.02310344827585,76.94931034482758,76.8748275862069,77.50474137931036,April,2018,2018 April,69.22,65.7,28.60222641509434,Petrol,2018-04-30
11,75.92225806451611,83.75806451612904,78.79161290322583,78.59548387096773,79.2668548387097,May,2018,2018 May,75.25,67.55,31.96941823899371,Petrol,2018-05-31
12,76.56137931034483,84.30793103448275,79.4641379310345,79.22724137931036,79.8901724137931,June,2018,2018 June,73.83,67.79,31.477583018867925,Petrol,2018-06-30
13,76.30799999999998,83.718,79.223,79.04899999999999,79.57450000000003,July,2018,2018 July,73.47,68.72,31.75382641509434,Petrol,2018-07-31
14,77.33354838709678,84.76419354838706,80.33645161290323,80.26903225806453,80.6758064516129,August,2018,2018 August,72.53,69.64,31.767227672955975,Petrol,2018-08-31
15,81.3558620689655,88.73689655172413,84.56034482758622,83.59620689655175,84.56232758620689,September,2018,2018 September,77.88,72.23,35.37907169811321,Petrol,2018-09-30
16,81.92387096774195,87.63709677419354,85.14870967741936,83.75935483870968,84.61725806451612,October,2018,2018 October,80.08,73.62,37.07855094339622,Petrol,2018-10-31
17,76.73965517241379,82.26,79.69103448275861,78.68137931034484,79.3430172413793,November,2018,2018 November,65.4,71.75,29.512264150943402,Petrol,2018-11-30
18,70.47354838709678,76.07903225806452,73.11677419354838,72.58129032258066,73.06266129032258,December,2018,2018 December,57.77,70.82,25.731266666666663,Petrol,2018-12-31
19,70.06133333333334,75.70233333333334,72.715,72.17266666666663,72.66283333333335,January,2019,2019 January,59.27,70.77,26.380741509433964,Petrol,2019-01-31
20,70.8051851851852,76.44148148148149,73.5025925925926,72.91037037037037,73.4149074074074,February,2019,2019 February,64.53,71.23,28.908628301886797,Petrol,2019-02-28
21,72.53903225806451,78.1632258064516,75.33516129032257,74.61967741935483,75.1642741935484,March,2019,2019 March,66.74,69.51,29.176713207547166,Petrol,2019-03-31
22,72.93034482758621,78.5003448275862,75.69310344827588,74.9503448275862,75.5185344827586,April,2019,2019 April,71.0,69.41,30.99440251572327,Petrol,2019-04-30
23,71.9441935483871,77.5458064516129,74.6793548387097,73.99967741935482,74.54225806451615,May,2019,2019 May,70.01,69.81,30.73835283018868,Petrol,2019-05-31
24,70.41827586206898,76.11034482758622,73.15206896551727,72.66724137931035,73.08698275862072,June,2019,2019 June,62.37,69.43,27.234900000000003,Petrol,2019-06-30
25,72.7122580645161,78.33064516129033,75.50645161290323,75.08193548387096,75.40782258064517,July,2019,2019 July,63.63,68.75,27.51297169811321,Petrol,2019-07-31
26,72.097,77.75366666666667,74.88966666666666,74.79233333333333,74.88316666666668,August,2019,2019 August,59.35,71.17,26.565657232704407,Petrol,2019-08-31
27,72.71433333333334,78.38666666666667,75.56333333333333,75.42466666666665,75.52225000000001,September,2019,2019 September,61.72,71.4,27.71577358490566,Petrol,2019-09-30
28,73.43566666666666,79.04666666666667,76.26566666666663,76.0806666666667,76.20716666666665,October,2019,2019 October,59.7,71.04,26.67350943396227,Petrol,2019-10-31
29,73.68633333333335,79.35233333333333,76.58933333333334,76.38333333333334,76.50283333333331,November,2019,2019 November,62.53,71.47,28.10703836477988,Petrol,2019-11-30
30,74.81033333333336,80.469,77.7773333333333,77.47799999999998,77.63366666666666,December,2019,2019 December,65.5,71.18,29.322578616352207,Petrol,2019-12-31
31,75.05833333333334,80.65666666666668,77.97700000000002,77.659,77.83775,January,2020,2020 January,64.31,71.29,28.834338993710695,Petrol,2020-01-31
32,72.22655172413796,77.8862068965517,75.03310344827585,74.87724137931035,75.00577586206899,February,2020,2020 February,54.63,71.51,24.569756603773587,Petrol,2020-02-29
33,70.1713333333333,75.87433333333334,72.89166666666667,72.863,72.95008333333334,March,2020,2020 March,33.36,74.53,15.637237735849057,Petrol,2020-03-31
34,69.58999999999997,76.30999999999996,72.27999999999999,73.29999999999998,72.86999999999995,April,2020,2020 April,19.9,76.22,9.539484276729558,Petrol,2020-04-30
35,71.03733333333335,76.30999999999996,75.21399999999997,73.29999999999998,73.96533333333332,May,2020,2020 May,30.61,75.67,14.567664779874214,Petrol,2020-05-31
36,76.10333333333332,83.00999999999999,79.81633333333336,77.95066666666665,79.22008333333335,June,2020,2020 June,40.63,75.72,19.34907924528302,Petrol,2020-06-30
37,80.43000000000002,87.19000000000004,83.63000000000007,82.09999999999995,83.33750000000005,July,2020,2020 July,43.35,74.92,20.426301886792455,Petrol,2020-07-31
38,80.94935483870971,87.66322580645159,84.06645161290322,82.51774193548383,83.7991935483871,August,2020,2020 August,44.19,74.6,20.733169811320753,Petrol,2020-08-31
39,81.56344827586207,88.22793103448272,84.58413793103449,83.07482758620691,84.36258620689658,September,2020,2020 September,41.35,73.55,19.127625786163524,Petrol,2020-09-30
40,81.05999999999996,87.73999999999994,84.14,82.59000000000002,83.88250000000001,October,2020,2020 October,40.66,73.54,18.8058893081761,Petrol,2020-10-31
41,81.31931034482758,88.0044827586207,84.38206896551723,82.85862068965517,84.14112068965517,November,2020,2020 November,43.34,74.22,20.23078490566038,Petrol,2020-11-30
42,83.53677419354841,90.17290322580646,86.35806451612909,85.02322580645165,86.27274193548386,December,2020,2020 December,49.84,73.63,23.07999496855346,Petrol,2020-12-31
43,84.91400000000006,91.51866666666668,87.59000000000005,86.35633333333337,87.59474999999998,January,2021,2021 January,54.79,73.12,25.196508176100632,Petrol,2021-01-31
44,53.841333333333324,59.214000000000006,56.714666666666666,55.99733333333333,56.441833333333335,June,2017,2017 June,46.56,64.52,18.893403773584904,Diesel,2017-06-30
