,products,month,average_cons,year,merge_col,type,Delhi,Mumbai,Chennai,Kolkata,mean_price,import_bbl_usd,INR,price_rs_lit_crude,Date
0,HSD,September,5494.49,2020,2020 September,Diesel,72.25172413793102,78.73655172413793,77.62655172413794,75.75862068965516,76.09336206896552,41.35,73.55,19.127625786163524,2020-09-30
1,HSD,January,6804.23,2021,2021 January,Diesel,75.0896666666667,81.8196666666667,80.3866666666667,78.67933333333333,78.9938333333333,54.79,73.12,25.196508176100632,2021-01-31
2,HSD,December,7187.82,2020,2020 December,Diesel,73.6987096774193,80.32838709677424,79.04838709677422,77.2687096774194,77.58604838709677,49.84,73.63,23.07999496855346,2020-12-31
3,HSD,November,7046.53,2020,2020 November,Diesel,70.87689655172414,77.31379310344825,76.35482758620692,74.42172413793104,74.7418103448276,43.34,74.22,20.23078490566038,2020-11-30
4,HSD,October,6997.46,2020,2020 October,Diesel,70.46225806451613,76.86225806451611,75.95193548387097,73.99193548387095,74.31709677419359,40.66,73.54,18.8058893081761,2020-10-31
5,HSD,August,4850.58,2020,2020 August,Diesel,73.55999999999996,80.10999999999999,78.85999999999999,77.05999999999996,77.39750000000002,44.19,74.6,20.733169811320753,2020-08-31
6,HSD,June,6299.98,2020,2020 June,Diesel,74.91300000000003,73.48166666666665,72.93499999999999,70.59166666666667,72.98033333333333,40.63,75.72,19.34907924528302,2020-06-30
7,HSD,May,5494.07,2020,2020 May,Diesel,68.44333333333337,66.21000000000002,67.96900000000002,65.61999999999995,67.0605833333333,30.61,75.67,14.567664779874214,2020-05-31
8,HSD,April,3253.62,2020,2020 April,Diesel,62.28999999999998,66.21000000000002,65.71000000000002,65.61999999999995,64.9575,19.9,76.22,9.539484276729558,2020-04-30
9,HSD,July,5510.68,2020,2020 July,Diesel,80.94933333333333,79.45566666666667,78.27333333333333,76.34666666666665,78.75625000000001,43.35,74.92,20.426301886792455,2020-07-31
10,MS,August,2381.7,2020,2020 August,Petrol,80.94935483870971,87.66322580645159,84.06645161290322,82.51774193548383,83.7991935483871,44.19,74.6,20.733169811320753,2020-08-31
11,MS,July,2260.93,2020,2020 July,Petrol,80.43000000000002,87.19000000000004,83.63000000000007,82.09999999999995,83.33750000000005,43.35,74.92,20.426301886792455,2020-07-31
12,MS,September,2450.79,2020,2020 September,Petrol,81.56344827586207,88.22793103448272,84.58413793103449,83.07482758620691,84.36258620689658,41.35,73.55,19.127625786163524,2020-09-30
13,MS,October,2654.61,2020,2020 October,Petrol,81.05999999999996,87.73999999999994,84.14,82.59000000000002,83.88250000000001,40.66,73.54,18.8058893081761,2020-10-31
14,MS,November,2665.33,2020,2020 November,Petrol,81.31931034482758,88.0044827586207,84.38206896551723,82.85862068965517,84.14112068965517,43.34,74.22,20.23078490566038,2020-11-30
15,MS,June,2282.27,2020,2020 June,Petrol,76.10333333333332,83.00999999999999,79.81633333333336,77.95066666666665,79.22008333333335,40.63,75.72,19.34907924528302,2020-06-30
